Sentence Length,Count
54,12
9,524
31,92
10,466
16,306
41,39
20,252
7,599
6,509
8,648
14,349
2,218
17,289
22,212
11,443
23,207
12,428
26,109
5,615
4,544
21,229
29,123
109,1
77,4
78,4
48,24
45,33
49,26
15,350
44,25
3,300
19,262
84,3
47,20
25,181
27,158
28,120
18,317
13,368
30,115
37,50
33,75
43,38
38,36
34,86
32,89
82,5
58,12
39,34
36,65
42,39
65,2
63,4
67,3
24,173
86,1
46,24
40,42
99,1
51,19
35,64
52,11
57,11
81,1
89,1
60,5
55,13
111,2
53,6
66,4
69,4
56,8
62,7
50,14
83,2
80,2
138,1
61,11
59,7
104,1
76,1
93,2
68,1
130,1
108,1
72,1
94,3
74,1
79,1
106,1
70,1
64,2
85,1
110,1
